x	y	u	v	velocity_magnitude	vorticity	temperature
3.490659e+00 0.000000e+00 -3.420201e-01 0.000000e+00 3.420201e-01 -1.084977e-02 1.050866e-02
3.554125e+00 0.000000e+00 -4.009305e-01 0.000000e+00 4.009305e-01 -1.271856e-02 1.027960e-02
3.617592e+00 0.000000e+00 -4.582265e-01 0.000000e+00 4.582265e-01 -1.453614e-02 1.001866e-02
3.681058e+00 0.000000e+00 -5.136774e-01 0.000000e+00 5.136774e-01 -1.629519e-02 9.728549e-03
3.744525e+00 0.000000e+00 -5.670599e-01 0.000000e+00 5.670599e-01 -1.798862e-02 9.412202e-03
3.807991e+00 0.000000e+00 -6.181590e-01 0.000000e+00 6.181590e-01 -1.960962e-02 9.072755e-03
3.871458e+00 0.000000e+00 -6.667690e-01 0.000000e+00 6.667690e-01 -2.115165e-02 8.713486e-03
3.934924e+00 0.000000e+00 -7.126942e-01 0.000000e+00 7.126942e-01 -2.260852e-02 8.337761e-03
3.998391e+00 0.000000e+00 -7.557496e-01 0.000000e+00 7.557496e-01 -2.397435e-02 7.948987e-03
4.061857e+00 0.000000e+00 -7.957618e-01 0.000000e+00 7.957618e-01 -2.524364e-02 7.550556e-03
4.125324e+00 0.000000e+00 -8.325699e-01 0.000000e+00 8.325699e-01 -2.641129e-02 7.145800e-03
4.188790e+00 0.000000e+00 -8.660254e-01 0.000000e+00 8.660254e-01 -2.747259e-02 6.737947e-03
4.252257e+00 0.000000e+00 -8.959938e-01 0.000000e+00 8.959938e-01 -2.842326e-02 6.330079e-03
4.315723e+00 0.000000e+00 -9.223543e-01 0.000000e+00 9.223543e-01 -2.925948e-02 5.925096e-03
4.379190e+00 0.000000e+00 -9.450008e-01 0.000000e+00 9.450008e-01 -2.997789e-02 5.525690e-03
4.442656e+00 0.000000e+00 -9.638422e-01 0.000000e+00 9.638422e-01 -3.057559e-02 5.134314e-03
4.506123e+00 0.000000e+00 -9.788024e-01 0.000000e+00 9.788024e-01 -3.105017e-02 4.753168e-03
4.569589e+00 0.000000e+00 -9.898214e-01 0.000000e+00 9.898214e-01 -3.139972e-02 4.384183e-03
4.633056e+00 0.000000e+00 -9.968548e-01 0.000000e+00 9.968548e-01 -3.162283e-02 4.029015e-03
4.696522e+00 0.000000e+00 -9.998741e-01 0.000000e+00 9.998741e-01 -3.171862e-02 3.689046e-03
4.759989e+00 0.000000e+00 -9.988673e-01 -0.000000e+00 9.988673e-01 -3.168668e-02 3.365378e-03
4.823455e+00 0.000000e+00 -9.938385e-01 -0.000000e+00 9.938385e-01 -3.152715e-02 3.058853e-03
4.886922e+00 0.000000e+00 -9.848078e-01 -0.000000e+00 9.848078e-01 -3.124067e-02 2.770053e-03
4.950388e+00 0.000000e+00 -9.718116e-01 -0.000000e+00 9.718116e-01 -3.082840e-02 2.499323e-03
5.013855e+00 0.000000e+00 -9.549022e-01 -0.000000e+00 9.549022e-01 -3.029199e-02 2.246784e-03
5.077321e+00 0.000000e+00 -9.341479e-01 -0.000000e+00 9.341479e-01 -2.963361e-02 2.012358e-03
5.140788e+00 0.000000e+00 -9.096320e-01 -0.000000e+00 9.096320e-01 -2.885590e-02 1.795783e-03
5.204254e+00 0.000000e+00 -8.814534e-01 -0.000000e+00 8.814534e-01 -2.796200e-02 1.596641e-03
5.267721e+00 0.000000e+00 -8.497254e-01 -0.000000e+00 8.497254e-01 -2.695551e-02 1.414378e-03
5.331188e+00 0.000000e+00 -8.145760e-01 -0.000000e+00 8.145760e-01 -2.584047e-02 1.248328e-03
5.394654e+00 0.000000e+00 -7.761465e-01 -0.000000e+00 7.761465e-01 -2.462139e-02 1.097732e-03
5.458121e+00 0.000000e+00 -7.345917e-01 -0.000000e+00 7.345917e-01 -2.330317e-02 9.617653e-04
5.521587e+00 0.000000e+00 -6.900790e-01 -0.000000e+00 6.900790e-01 -2.189111e-02 8.395499e-04
5.585054e+00 0.000000e+00 -6.427876e-01 -0.000000e+00 6.427876e-01 -2.039090e-02 7.301780e-04
5.648520e+00 0.000000e+00 -5.929079e-01 -0.000000e+00 5.929079e-01 -1.880859e-02 6.327261e-04
5.711987e+00 0.000000e+00 -5.406408e-01 -0.000000e+00 5.406408e-01 -1.715054e-02 5.462703e-04
5.775453e+00 0.000000e+00 -4.861967e-01 -0.000000e+00 4.861967e-01 -1.542343e-02 4.698986e-04
5.838920e+00 0.000000e+00 -4.297949e-01 -0.000000e+00 4.297949e-01 -1.363422e-02 4.027222e-04
5.902386e+00 0.000000e+00 -3.716625e-01 -0.000000e+00 3.716625e-01 -1.179010e-02 3.438838e-04
5.965853e+00 0.000000e+00 -3.120334e-01 -0.000000e+00 3.120334e-01 -9.898515e-03 2.925653e-04
6.029319e+00 0.000000e+00 -2.511480e-01 -0.000000e+00 2.511480e-01 -7.967069e-03 2.479925e-04
6.092786e+00 0.000000e+00 -1.892512e-01 -0.000000e+00 1.892512e-01 -6.003543e-03 2.094398e-04
6.156252e+00 0.000000e+00 -1.265925e-01 -0.000000e+00 1.265925e-01 -4.015843e-03 1.762319e-04
6.219719e+00 0.000000e+00 -6.342392e-02 -0.000000e+00 6.342392e-02 -2.011972e-03 1.477456e-04
6.283185e+00 0.000000e+00 -2.449294e-16 -0.000000e+00 2.449294e-16 -7.769798e-18 1.234098e-04
0.000000e+00 6.346652e-02 0.000000e+00 -6.342392e-02 6.342392e-02 2.011972e-03 1.477456e-04
6.346652e-02 6.346652e-02 6.329623e-02 -6.329623e-02 8.951438e-02 8.039787e-03 1.768804e-04
1.269330e-01 6.346652e-02 1.263376e-01 -6.291366e-02 1.411358e-01 1.604720e-02 2.109840e-04
1.903996e-01 6.346652e-02 1.888702e-01 -6.227777e-02 1.988730e-01 2.399000e-02 2.507403e-04
2.538661e-01 6.346652e-02 2.506423e-01 -6.139110e-02 2.580513e-01 3.183620e-02 2.968955e-04
3.173326e-01 6.346652e-02 3.114052e-01 -6.025723e-02 3.171816e-01 3.955420e-02 3.502578e-04
3.807991e-01 6.346652e-02 3.709142e-01 -5.888073e-02 3.755586e-01 4.711294e-02 4.116962e-04
4.442656e-01 6.346652e-02 4.289296e-01 -5.726714e-02 4.327356e-01 5.448196e-02 4.821372e-04
5.077321e-01 6.346652e-02 4.852179e-01 -5.542295e-02 4.883729e-01 6.163161e-02 5.625605e-04
5.711987e-01 6.346652e-02 5.395523e-01 -5.335560e-02 5.421840e-01 6.853309e-02 6.539922e-04
6.346652e-01 6.346652e-02 5.917142e-01 -5.107340e-02 5.939143e-01 7.515861e-02 7.574968e-04
6.981317e-01 6.346652e-02 6.414935e-01 -4.858554e-02 6.433307e-01 8.148149e-02 8.741657e-04
7.615982e-01 6.346652e-02 6.886897e-01 -4.590205e-02 6.902177e-01 8.747628e-02 1.005105e-03
8.250647e-01 6.346652e-02 7.331127e-01 -4.303373e-02 7.343747e-01 9.311883e-02 1.151421e-03
8.885313e-01 6.346652e-02 7.745838e-01 -3.999212e-02 7.756155e-01 9.838642e-02 1.314200e-03
9.519978e-01 6.346652e-02 8.129359e-01 -3.678948e-02 8.137680e-01 1.032578e-01 1.494492e-03
1.015464e+00 6.346652e-02 8.480147e-01 -3.343871e-02 8.486737e-01 1.077135e-01 1.693287e-03
1.078931e+00 6.346652e-02 8.796787e-01 -2.995328e-02 8.801885e-01 1.117354e-01 1.911492e-03
1.142397e+00 6.346652e-02 9.078006e-01 -2.634725e-02 9.081829e-01 1.153074e-01 2.149903e-03
1.205864e+00 6.346652e-02 9.322671e-01 -2.263512e-02 9.325419e-01 1.184151e-01 2.409186e-03
1.269330e+00 6.346652e-02 9.529797e-01 -1.883185e-02 9.531658e-01 1.210460e-01 2.689840e-03
1.332797e+00 6.346652e-02 9.698550e-01 -1.495276e-02 9.699703e-01 1.231895e-01 2.992177e-03
1.396263e+00 6.346652e-02 9.828250e-01 -1.101345e-02 9.828867e-01 1.248369e-01 3.316294e-03
1.459730e+00 6.346652e-02 9.918375e-01 -7.029793e-03 9.918625e-01 1.259816e-01 3.662044e-03
1.523196e+00 6.346652e-02 9.968563e-01 -3.017832e-03 9.968609e-01 1.266191e-01 4.029015e-03
1.586663e+00 6.346652e-02 9.978611e-01 1.006282e-03 9.978616e-01 1.267467e-01 4.416508e-03
1.650129e+00 6.346652e-02 9.948478e-01 5.026343e-03 9.948605e-01 1.263640e-01 4.823519e-03
1.713596e+00 6.346652e-02 9.878286e-01 9.026165e-03 9.878698e-01 1.254724e-01 5.248723e-03
1.777063e+00 6.346652e-02 9.768318e-01 1.298964e-02 9.769182e-01 1.240756e-01 5.690470e-03
1.840529e+00 6.346652e-02 9.619016e-01 1.690081e-02 9.620501e-01 1.221792e-01 6.146777e-03
1.903996e+00 6.346652e-02 9.430982e-01 2.074393e-02 9.433263e-01 1.197909e-01 6.615331e-03
1.967462e+00 6.346652e-02 9.204973e-01 2.450352e-02 9.208234e-01 1.169201e-01 7.093498e-03
2.030929e+00 6.346652e-02 8.941898e-01 2.816445e-02 8.946333e-01 1.135786e-01 7.578341e-03
2.094395e+00 6.346652e-02 8.642818e-01 3.171196e-02 8.648634e-01 1.097797e-01 8.066639e-03
2.157862e+00 6.346652e-02 8.308936e-01 3.513178e-02 8.316360e-01 1.055388e-01 8.554919e-03
2.221328e+00 6.346652e-02 7.941597e-01 3.841014e-02 7.950880e-01 1.008729e-01 9.039491e-03
2.284795e+00 6.346652e-02 7.542280e-01 4.153383e-02 7.553707e-01 9.580086e-02 9.516491e-03
2.348261e+00 6.346652e-02 7.112593e-01 4.449029e-02 7.126494e-01 9.034304e-02 9.981929e-03
2.411728e+00 6.346652e-02 6.654266e-01 4.726759e-02 6.671033e-01 8.452144e-02 1.043174e-02
2.475194e+00 6.346652e-02 6.169144e-01 4.985457e-02 6.189256e-01 7.835950e-02 1.086186e-02
2.538661e+00 6.346652e-02 5.659182e-01 5.224080e-02 5.683243e-01 7.188204e-02 1.126824e-02
2.602127e+00 6.346652e-02 5.126432e-01 5.441667e-02 5.155232e-01 6.511513e-02 1.164697e-02
2.665594e+00 6.346652e-02 4.573040e-01 5.637343e-02 4.607655e-01 5.808603e-02 1.199430e-02
2.729060e+00 6.346652e-02 4.001233e-01 5.810319e-02 4.043200e-01 5.082304e-02 1.230669e-02
2.792527e+00 6.346652e-02 3.413315e-01 5.959899e-02 3.464957e-01 4.335540e-02 1.258092e-02
2.855993e+00 6.346652e-02 2.811653e-01 6.085481e-02 2.876756e-01 3.571318e-02 1.281411e-02
2.919460e+00 6.346652e-02 2.198670e-01 6.186558e-02 2.284050e-01 2.792716e-02 1.300377e-02
2.982926e+00 6.346652e-02 1.576833e-01 6.262724e-02 1.696649e-01 2.002868e-02 1.314785e-02
3.046393e+00 6.346652e-02 9.486466e-02 6.313673e-02 1.139542e-01 1.204956e-02 1.324480e-02
3.109859e+00 6.346652e-02 3.166405e-02 6.339199e-02 7.086012e-02 4.021918e-03 1.329353e-02
3.173326e+00 6.346652e-02 -3.166405e-02 6.339199e-02 7.086012e-02 -4.021918e-03 1.329353e-02
3.236792e+00 6.346652e-02 -9.486466e-02 6.313673e-02 1.139542e-01 -1.204956e-02 1.324480e-02
3.300259e+00 6.346652e-02 -1.576833e-01 6.262724e-02 1.696649e-01 -2.002868e-02 1.314785e-02
3.363725e+00 6.346652e-02 -2.198670e-01 6.186558e-02 2.284050e-01 -2.792716e-02 1.300377e-02
3.427192e+00 6.346652e-02 -2.811653e-01 6.085481e-02 2.876756e-01 -3.571318e-02 1.281411e-02
3.490659e+00 6.346652e-02 -3.413315e-01 5.959899e-02 3.464957e-01 -4.335540e-02 1.258092e-02
3.554125e+00 6.346652e-02 -4.001233e-01 5.810319e-02 4.043200e-01 -5.082304e-02 1.230669e-02
3.617592e+00 6.346652e-02 -4.573040e-01 5.637343e-02 4.607655e-01 -5.808603e-02 1.199430e-02
3.681058e+00 6.346652e-02 -5.126432e-01 5.441667e-02 5.155232e-01 -6.511513e-02 1.164697e-02
3.744525e+00 6.346652e-02 -5.659182e-01 5.224080e-02 5.683243e-01 -7.188204e-02 1.126824e-02
3.807991e+00 6.346652e-02 -6.169144e-01 4.985457e-02 6.189256e-01 -7.835950e-02 1.086186e-02
3.871458e+00 6.346652e-02 -6.654266e-01 4.726759e-02 6.671033e-01 -8.452144e-02 1.043174e-02
3.934924e+00 6.346652e-02 -7.112593e-01 4.449029e-02 7.126494e-01 -9.034304e-02 9.981929e-03
3.998391e+00 6.346652e-02 -7.542280e-01 4.153383e-02 7.553707e-01 -9.580086e-02 9.516491e-03
4.061857e+00 6.346652e-02 -7.941597e-01 3.841014e-02 7.950880e-01 -1.008729e-01 9.039491e-03
4.125324e+00 6.346652e-02 -8.308936e-01 3.513178e-02 8.316360e-01 -1.055388e-01 8.554919e-03
4.188790e+00 6.346652e-02 -8.642818e-01 3.171196e-02 8.648634e-01 -1.097797e-01 8.066639e-03
4.252257e+00 6.346652e-02 -8.941898e-01 2.816445e-02 8.946333e-01 -1.135786e-01 7.578341e-03
4.315723e+00 6.346652e-02 -9.204973e-01 2.450352e-02 9.208234e-01 -1.169201e-01 7.093498e-03
4.379190e+00 6.346652e-02 -9.430982e-01 2.074393e-02 9.433263e-01 -1.197909e-01 6.615331e-03
4.442656e+00 6.346652e-02 -9.619016e-01 1.690081e-02 9.620501e-01 -1.221792e-01 6.146777e-03
4.506123e+00 6.346652e-02 -9.768318e-01 1.298964e-02 9.769182e-01 -1.240756e-01 5.690470e-03
4.569589e+00 6.346652e-02 -9.878286e-01 9.026165e-03 9.878698e-01 -1.254724e-01 5.248723e-03
4.633056e+00 6.346652e-02 -9.948478e-01 5.026343e-03 9.948605e-01 -1.263640e-01 4.823519e-03
4.696522e+00 6.346652e-02 -9.978611e-01 1.006282e-03 9.978616e-01 -1.267467e-01 4.416508e-03
4.759989e+00 6.346652e-02 -9.968563e-01 -3.017832e-03 9.968609e-01 -1.266191e-01 4.029015e-03
4.823455e+00 6.346652e-02 -9.918375e-01 -7.029793e-03 9.918625e-01 -1.259816e-01 3.662044e-03
4.886922e+00 6.346652e-02 -9.828250e-01 -1.101345e-02 9.828867e-01 -1.248369e-01 3.316294e-03
4.950388e+00 6.346652e-02 -9.698550e-01 -1.495276e-02 9.699703e-01 -1.231895e-01 2.992177e-03
5.013855e+00 6.346652e-02 -9.529797e-01 -1.883185e-02 9.531658e-01 -1.210460e-01 2.689840e-03
5.077321e+00 6.346652e-02 -9.322671e-01 -2.263512e-02 9.325419e-01 -1.184151e-01 2.409186e-03
5.140788e+00 6.346652e-02 -9.078006e-01 -2.634725e-02 9.081829e-01 -1.153074e-01 2.149903e-03
5.204254e+00 6.346652e-02 -8.796787e-01 -2.995328e-02 8.801885e-01 -1.117354e-01 1.911492e-03
5.267721e+00 6.346652e-02 -8.480147e-01 -3.343871e-02 8.486737e-01 -1.077135e-01 1.693287e-03
5.331188e+00 6.346652e-02 -8.129359e-01 -3.678948e-02 8.137680e-01 -1.032578e-01 1.494492e-03
5.394654e+00 6.346652e-02 -7.745838e-01 -3.999212e-02 7.756155e-01 -9.838642e-02 1.314200e-03
5.458121e+00 6.346652e-02 -7.331127e-01 -4.303373e-02 7.343747e-01 -9.311883e-02 1.151421e-03
5.521587e+00 6.346652e-02 -6.886897e-01 -4.590205e-02 6.902177e-01 -8.747628e-02 1.005105e-03
5.585054e+00 6.346652e-02 -6.414935e-01 -4.858554e-02 6.433307e-01 -8.148149e-02 8.741657e-04
5.648520e+00 6.346652e-02 -5.917142e-01 -5.107340e-02 5.939143e-01 -7.515861e-02 7.574968e-04
5.711987e+00 6.346652e-02 -5.395523e-01 -5.335560e-02 5.421840e-01 -6.853309e-02 6.539922e-04
5.775453e+00 6.346652e-02 -4.852179e-01 -5.542295e-02 4.883729e-01 -6.163161e-02 5.625605e-04
5.838920e+00 6.346652e-02 -4.289296e-01 -5.726714e-02 4.327356e-01 -5.448196e-02 4.821372e-04
5.902386e+00 6.346652e-02 -3.709142e-01 -5.888073e-02 3.755586e-01 -4.711294e-02 4.116962e-04
5.965853e+00 6.346652e-02 -3.114052e-01 -6.025723e-02 3.171816e-01 -3.955420e-02 3.502578e-04
6.029319e+00 6.346652e-02 -2.506423e-01 -6.139110e-02 2.580513e-01 -3.183620e-02 2.968955e-04
6.092786e+00 6.346652e-02 -1.888702e-01 -6.227777e-02 1.988730e-01 -2.399000e-02 2.507403e-04
6.156252e+00 6.346652e-02 -1.263376e-01 -6.291366e-02 1.411358e-01 -1.604720e-02 2.109840e-04
6.219719e+00 6.346652e-02 -6.329623e-02 -6.329623e-02 8.951438e-02 -8.039787e-03 1.768804e-04
6.283185e+00 6.346652e-02 -2.444362e-16 -6.342392e-02 6.342392e-02 -2.011972e-03 1.477456e-04
0.000000e+00 1.269330e-01 0.000000e+00 -1.265925e-01 1.265925e-01 4.015843e-03 1.762319e-04
6.346652e-02 1.269330e-01 6.291366e-02 -1.263376e-01 1.411358e-01 1.604720e-02 2.109840e-04
1.269330e-01 1.269330e-01 1.255740e-01 -1.255740e-01 1.775884e-01 3.202979e-02 2.516630e-04
1.903996e-01 1.269330e-01 1.877287e-01 -1.243048e-01 2.251527e-01 4.788340e-02 2.990846e-04
2.538661e-01 1.269330e-01 2.491275e-01 -1.225350e-01 2.776316e-01 6.354420e-02 3.541387e-04
3.173326e-01 1.269330e-01 3.095231e-01 -1.202718e-01 3.320690e-01 7.894913e-02 4.177896e-04
3.807991e-01 1.269330e-01 3.686724e-01 -1.175244e-01 3.869513e-01 9.403617e-02 4.910737e-04
4.442656e-01 1.269330e-01 4.263371e-01 -1.143037e-01 4.413940e-01 1.087445e-01 5.750961e-04
5.077321e-01 1.269330e-01 4.822852e-01 -1.106227e-01 4.948095e-01 1.230151e-01 6.710255e-04
5.711987e-01 1.269330e-01 5.362913e-01 -1.064963e-01 5.467630e-01 1.367902e-01 7.800859e-04
6.346652e-01 1.269330e-01 5.881379e-01 -1.019411e-01 5.969072e-01 1.500146e-01 9.035467e-04
6.981317e-01 1.269330e-01 6.376163e-01 -9.697545e-02 6.449486e-01 1.626349e-01 1.042710e-03
7.615982e-01 1.269330e-01 6.845272e-01 -9.161927e-02 6.906313e-01 1.746003e-01 1.198896e-03
8.250647e-01 1.269330e-01 7.286818e-01 -8.589417e-02 7.337268e-01 1.858627e-01 1.373422e-03
8.885313e-01 1.269330e-01 7.699022e-01 -7.982321e-02 7.740292e-01 1.963767e-01 1.567586e-03
9.519978e-01 1.269330e-01 8.080225e-01 -7.343083e-02 8.113523e-01 2.060999e-01 1.782639e-03
1.015464e+00 1.269330e-01 8.428892e-01 -6.674277e-02 8.455276e-01 2.149933e-01 2.019763e-03
1.078931e+00 1.269330e-01 8.743619e-01 -5.978595e-02 8.764035e-01 2.230209e-01 2.280039e-03
1.142397e+00 1.269330e-01 9.023138e-01 -5.258841e-02 9.038450e-01 2.301505e-01 2.564418e-03
1.205864e+00 1.269330e-01 9.266325e-01 -4.517910e-02 9.277332e-01 2.363534e-01 2.873691e-03
1.269330e+00 1.269330e-01 9.472199e-01 -3.758788e-02 9.479654e-01 2.416046e-01 3.208457e-03
1.332797e+00 1.269330e-01 9.639932e-01 -2.984530e-02 9.644551e-01 2.458829e-01 3.569087e-03
1.396263e+00 1.269330e-01 9.768848e-01 -2.198255e-02 9.771321e-01 2.491711e-01 3.955696e-03
1.459730e+00 1.269330e-01 9.858428e-01 -1.403128e-02 9.859427e-01 2.514560e-01 4.368109e-03
1.523196e+00 1.269330e-01 9.908313e-01 -6.023511e-03 9.908496e-01 2.527284e-01 4.805834e-03
1.586663e+00 1.269330e-01 9.918300e-01 2.008511e-03 9.918320e-01 2.529831e-01 5.268038e-03
1.650129e+00 1.269330e-01 9.888349e-01 1.003245e-02 9.888858e-01 2.522192e-01 5.753522e-03
1.713596e+00 1.269330e-01 9.818581e-01 1.801598e-02 9.820234e-01 2.504396e-01 6.260709e-03
1.777063e+00 1.269330e-01 9.709278e-01 2.592698e-02 9.712739e-01 2.476517e-01 6.787627e-03
1.840529e+00 1.269330e-01 9.560879e-01 3.373357e-02 9.566828e-01 2.438665e-01 7.331913e-03
1.903996e+00 1.269330e-01 9.373981e-01 4.140434e-02 9.383121e-01 2.390994e-01 7.890806e-03
1.967462e+00 1.269330e-01 9.149338e-01 4.890838e-02 9.162401e-01 2.333694e-01 8.461167e-03
2.030929e+00 1.269330e-01 8.887853e-01 5.621548e-02 8.905614e-01 2.266998e-01 9.039491e-03
2.094395e+00 1.269330e-01 8.590581e-01 6.329623e-02 8.613868e-01 2.191174e-01 9.621936e-03
2.157862e+00 1.269330e-01 8.258717e-01 7.012210e-02 8.288432e-01 2.106526e-01 1.020436e-02
2.221328e+00 1.269330e-01 7.893598e-01 7.666562e-02 7.930741e-01 2.013397e-01 1.078236e-02
2.284795e+00 1.269330e-01 7.496694e-01 8.290043e-02 7.542392e-01 1.912160e-01 1.135133e-02
2.348261e+00 1.269330e-01 7.069604e-01 8.880143e-02 7.125158e-01 1.803223e-01 1.190651e-02
2.411728e+00 1.269330e-01 6.614047e-01 9.434486e-02 6.680997e-01 1.687025e-01 1.244305e-02
2.475194e+00 1.269330e-01 6.131858e-01 9.950839e-02 6.212075e-01 1.564035e-01 1.295609e-02
2.538661e+00 1.269330e-01 5.624978e-01 1.042712e-01 5.720806e-01 1.434746e-01 1.344083e-02
2.602127e+00 1.269330e-01 5.095448e-01 1.086142e-01 5.209922e-01 1.299681e-01 1.389258e-02
2.665594e+00 1.269330e-01 4.545400e-01 1.125199e-01 4.682599e-01 1.159382e-01 1.430687e-02
